Date,Country,Production_Tons,Export_Tons,USD_Price,Month,Year,Season
2015-05-19,France,193287,56031,8.95,5,2015,Spring
2015-09-16,USA,345706,39342,16.82,9,2015,Spring
2010-04-15,Denmark,151776,25608,18.12,4,2010,Ramadan
2010-09-12,South Africa,269703,16621,10.48,9,2010,Spring
2023-05-07,Portugal,268357,25665,14.27,5,2023,Spring
2018-09-30,Lebanon,293055,27988,8.85,9,2018,Spring
2020-11-18,France,184293,41859,13.78,11,2020,Spring
2014-06-23,Brazil,302794,23946,12.89,6,2014,Summer
2018-12-29,UK,320665,43220,18.16,12,2018,Winter
2015-01-19,Saudi Arabia,319461,13763,17.49,1,2015,Winter
2014-06-23,Mexico,265485,30974,11.66,6,2014,Summer
2015-09-16,Romania,325540,38639,9.63,9,2015,Spring
2019-10-25,Netherlands,151479,21712,9.8,10,2019,Spring
2014-09-21,Portugal,234507,7218,14.62,9,2014,Spring
2023-01-07,Egypt,307743,32128,15.82,1,2023,Winter
2011-08-08,Brazil,280069,21630,5.89,8,2011,Summer
2015-02-18,China,332678,58637,12.39,2,2015,Winter
2017-01-08,Italy,268260,34551,17.0,1,2017,Winter
2018-06-02,Italy,315663,21077,12.2,6,2018,Summer
2019-10-25,Portugal,270651,37087,10.27,10,2019,Spring
2021-07-16,Hungary,170118,32411,6.7,7,2021,Summer
2016-02-13,Egypt,183510,7871,7.99,2,2016,Winter
2017-07-07,Algeria,153430,9644,17.59,7,2017,Summer
2015-02-18,Algeria,173960,37762,14.42,2,2015,Winter
2013-10-26,Qatar,344810,36342,6.39,10,2013,Spring
2022-05-12,Japan,310048,16439,14.49,5,2022,Spring
2019-12-24,Colombia,276475,26619,9.47,12,2019,Winter
2013-11-25,Mexico,236232,21707,14.79,11,2013,Spring
2018-05-03,Morocco,303637,31571,8.1,5,2018,Spring
2012-03-05,UAE,212935,16666,18.05,3,2012,Ramadan
2017-08-06,Lebanon,194625,20638,9.6,8,2017,Summer
2020-04-22,UK,275628,54186,13.07,4,2020,Ramadan
2019-09-25,Argentina,197430,5401,7.96,9,2019,Spring
2013-04-29,Austria,253459,15644,13.76,4,2013,Ramadan
2014-11-20,Austria,271536,31426,16.79,11,2014,Spring
2018-08-01,Saudi Arabia,169113,20515,15.58,8,2018,Summer
2014-08-22,Poland,169245,18558,13.3,8,2014,Summer
2022-11-08,Kuwait,197362,30530,9.99,11,2022,Spring
2012-03-05,Poland,268777,21721,7.44,3,2012,Ramadan
2018-12-29,Norway,171782,28374,5.67,12,2018,Winter
2015-06-18,China,276941,29862,10.33,6,2015,Summer
2014-04-24,Colombia,332847,39995,11.12,4,2014,Ramadan
2018-09-30,Chile,202403,15380,10.45,9,2018,Spring
2015-11-15,Canada,229058,65691,16.55,11,2015,Spring
2016-08-11,Czech Republic,344273,22632,6.18,8,2016,Summer
2014-02-23,Kuwait,290127,13896,13.74,2,2014,Winter
2019-09-25,Algeria,206314,19541,16.62,9,2019,Spring
2014-02-23,Romania,279831,6102,11.23,2,2014,Winter
2011-05-10,Germany,157939,56876,11.97,5,2011,Spring
2024-05-01,UAE,247377,12716,9.46,5,2024,Spring
2013-12-25,China,199375,19300,17.09,12,2013,Winter
2019-12-24,Brazil,295829,26051,12.14,12,2019,Winter
2015-06-18,Romania,327742,15765,6.82,6,2015,Summer
2021-09-14,Turkey,241679,20381,6.92,9,2021,Spring
2018-07-02,Portugal,240777,10415,14.42,7,2018,Summer
2013-06-28,Peru,180184,16359,16.69,6,2013,Summer
2010-05-15,Italy,235136,21366,7.73,5,2010,Spring
2021-03-18,USA,173914,24399,16.31,3,2021,Ramadan
2024-09-28,Denmark,194318,32376,10.25,9,2024,Spring
2011-09-07,Qatar,274371,18754,8.54,9,2011,Spring
2024-04-01,Kuwait,344880,10543,9.22,4,2024,Ramadan
2018-07-02,Jordan,247060,5941,16.08,7,2018,Summer
2020-10-19,Australia,202448,31257,13.67,10,2020,Spring
2014-01-24,Morocco,172478,23576,8.32,1,2014,Winter
2021-02-16,Peru,269122,9845,16.62,2,2021,Winter
2010-05-15,India,179395,24385,16.33,5,2010,Spring
2023-01-07,Japan,189116,12384,14.41,1,2023,Winter
2017-06-07,Qatar,248210,21364,17.31,6,2017,Summer
2021-04-17,Hungary,206514,15333,13.39,4,2021,Ramadan
2022-01-12,Belgium,247434,26713,8.89,1,2022,Winter
2020-07-21,South Africa,267044,7091,7.27,7,2020,Summer
2018-11-29,Morocco,177909,38176,12.76,11,2018,Spring
2020-08-20,Brazil,255398,32288,16.49,8,2020,Summer
2018-05-03,France,301828,23832,15.06,5,2018,Spring
2018-03-04,Turkey,182177,18812,10.34,3,2018,Ramadan
2019-07-27,Algeria,185411,38922,18.41,7,2019,Summer
2022-05-12,Austria,251821,38481,7.58,5,2022,Spring
2023-07-06,Spain,222084,17265,9.14,7,2023,Summer
2021-04-17,Portugal,263622,10195,18.05,4,2021,Ramadan
2014-04-24,Hungary,161572,6720,13.29,4,2014,Ramadan
2023-02-06,Poland,335889,24827,8.23,2,2023,Winter
2016-09-10,Egypt,161913,23982,17.93,9,2016,Spring
2022-07-11,Canada,273338,31481,12.25,7,2022,Summer
2021-03-18,Germany,166189,22353,16.27,3,2021,Ramadan
2015-08-17,Turkey,220912,13484,14.9,8,2015,Summer
2020-04-22,Hungary,219176,37594,14.98,4,2020,Ramadan
2023-12-03,Belgium,161984,9278,9.38,12,2023,Winter
2019-04-28,Belgium,208025,19045,13.92,4,2019,Ramadan
2013-01-29,Mexico,328827,37194,17.72,1,2013,Winter
2021-05-17,Germany,193132,24820,9.77,5,2021,Spring
2023-04-07,Greece,236549,30096,12.98,4,2023,Ramadan
2015-01-19,France,298729,35785,17.81,1,2015,Winter
2010-10-12,Poland,221864,31548,8.73,10,2010,Spring
2016-09-10,Poland,240944,35165,13.58,9,2016,Spring
2016-09-10,Hungary,246536,13553,14.89,9,2016,Spring
2017-06-07,Argentina,232078,29869,8.82,6,2017,Summer
2024-05-31,Lebanon,266343,38148,10.58,5,2024,Spring
2015-01-19,Italy,343631,55374,16.99,1,2015,Winter
2016-08-11,Denmark,317142,9621,6.99,8,2016,Summer
2022-12-08,Chile,299834,18224,8.67,12,2022,Winter
2017-12-04,Netherlands,224954,39989,16.91,12,2017,Winter
2014-02-23,Canada,271031,28893,7.86,2,2014,Winter
2021-06-16,Canada,219633,79533,16.25,6,2021,Summer
2023-06-06,Romania,176796,29251,8.41,6,2023,Summer
2022-03-13,Qatar,217447,16514,10.45,3,2022,Ramadan
2012-07-03,Denmark,282993,16632,7.44,7,2012,Summer
2022-05-12,Poland,259568,31286,15.99,5,2022,Spring
2021-01-17,Czech Republic,178789,14482,8.98,1,2021,Winter
2018-07-02,Qatar,207696,35066,6.36,7,2018,Summer
2018-03-04,Denmark,318856,18149,6.23,3,2018,Ramadan
2017-10-05,Qatar,175323,19455,15.86,10,2017,Spring
2011-12-06,Germany,338314,35485,9.65,12,2011,Winter
2015-07-18,Jordan,272811,35531,13.85,7,2015,Summer
2023-07-06,Mexico,252101,9750,17.74,7,2023,Summer
2012-08-02,Chile,255218,34722,13.13,8,2012,Summer
2014-05-24,Switzerland,239959,24674,10.54,5,2014,Spring
2016-11-09,Czech Republic,273004,7786,16.02,11,2016,Spring
2024-02-01,Italy,156890,52376,10.19,2,2024,Winter
2016-05-13,Lebanon,227071,17709,7.96,5,2016,Spring
2011-09-07,Kuwait,328745,29299,17.07,9,2011,Spring
2015-08-17,Qatar,257504,26365,11.36,8,2015,Summer
2018-09-30,Argentina,234745,34566,16.64,9,2018,Spring
2015-04-19,Spain,186703,11584,15.28,4,2015,Ramadan
2018-07-02,Hungary,204771,19164,18.11,7,2018,Summer
2012-05-04,Argentina,253146,8284,10.18,5,2012,Spring
2015-11-15,Poland,251333,35480,17.03,11,2015,Spring
2024-04-01,Mexico,163956,33874,16.17,4,2024,Ramadan
2013-04-29,Chile,300126,5519,9.82,4,2013,Ramadan
2021-01-17,Saudi Arabia,332132,36177,14.49,1,2021,Winter
2019-03-29,Lebanon,257562,14692,16.63,3,2019,Ramadan
2010-09-12,Japan,255957,38451,16.52,9,2010,Spring
2019-12-24,Qatar,340135,20601,13.27,12,2019,Winter
2013-01-29,France,186603,37359,8.71,1,2013,Winter
2019-05-28,Austria,222338,34880,8.07,5,2019,Spring
2015-08-17,Saudi Arabia,307630,29666,10.15,8,2015,Summer
2010-12-11,Australia,326185,37220,6.87,12,2010,Winter
2016-03-14,Brazil,247989,38216,11.19,3,2016,Ramadan
2010-01-15,South Africa,245973,16371,13.55,1,2010,Winter
2018-08-31,USA,306233,29670,5.54,8,2018,Summer
2022-01-12,UAE,178951,38113,15.02,1,2022,Winter
2023-08-05,UAE,341815,37082,18.15,8,2023,Summer
2015-03-20,Czech Republic,332427,13973,8.86,3,2015,Ramadan
2019-09-25,Libya,306025,17280,7.02,9,2019,Spring
2017-11-04,France,249345,30789,5.53,11,2017,Spring
2014-01-24,China,172887,45007,6.54,1,2014,Winter
2020-02-22,Belgium,303219,31027,6.83,2,2020,Winter
2010-04-15,Morocco,328147,13801,15.03,4,2010,Ramadan
2012-06-03,South Africa,247649,25109,13.81,6,2012,Summer
2015-07-18,Qatar,282224,11895,15.47,7,2015,Summer
2012-10-31,Greece,341912,32951,11.28,10,2012,Spring
2015-02-18,Czech Republic,228696,8598,14.14,2,2015,Winter
2023-12-03,France,263062,43869,6.41,12,2023,Winter
2019-10-25,Spain,189470,21064,5.58,10,2019,Spring
2018-06-02,South Africa,285954,35513,12.04,6,2018,Summer
2017-02-07,Colombia,310336,16194,16.81,2,2017,Winter
2023-04-07,UK,278315,58955,12.36,4,2023,Ramadan
2022-02-11,Qatar,306023,24675,12.48,2,2022,Winter
2021-09-14,Belgium,344227,13384,8.86,9,2021,Spring
2014-05-24,Germany,285136,54731,7.32,5,2014,Spring
2011-06-09,Romania,224632,6146,16.26,6,2011,Summer
2014-06-23,Czech Republic,232619,5487,16.71,6,2014,Summer
2010-06-14,Colombia,334647,19709,16.62,6,2010,Summer
2013-08-27,Algeria,200382,16901,17.14,8,2013,Summer
2013-12-25,USA,299926,44993,10.17,12,2013,Winter
2015-02-18,Hungary,341260,29597,6.04,2,2015,Winter
2016-03-14,China,324470,17273,9.62,3,2016,Ramadan
2018-11-29,Libya,190733,36555,13.65,11,2018,Spring
2020-11-18,Germany,207255,58522,15.4,11,2020,Spring
2016-11-09,Morocco,267072,20058,15.68,11,2016,Spring
2020-07-21,Egypt,275940,14124,15.38,7,2020,Summer
2023-12-03,Canada,277064,65760,7.08,12,2023,Winter
2018-01-03,UK,251659,42119,15.63,1,2018,Winter
2020-07-21,Austria,238646,28401,6.56,7,2020,Summer
2018-07-02,Netherlands,244026,7117,16.08,7,2018,Summer
2019-06-27,Germany,256296,56859,16.25,6,2019,Summer
2011-05-10,Jordan,321101,25525,13.84,5,2011,Spring
2016-07-12,France,301050,57423,11.64,7,2016,Summer
2010-05-15,Spain,294107,37460,12.14,5,2010,Spring
2020-04-22,Denmark,257576,35142,14.74,4,2020,Ramadan
2024-03-02,Algeria,178283,28607,5.75,3,2024,Ramadan
2022-09-09,Canada,264264,58360,13.75,9,2022,Spring
2024-04-01,Austria,175488,15452,6.2,4,2024,Ramadan
2018-09-30,South Africa,165959,30843,15.88,9,2018,Spring
2018-10-30,Portugal,277438,5759,14.0,10,2018,Spring
2021-01-17,Qatar,305354,16382,12.64,1,2021,Winter
2014-09-21,Mexico,216611,23274,8.81,9,2014,Spring
2014-08-22,Argentina,334597,34028,7.99,8,2014,Summer
2019-07-27,Chile,331102,19201,18.27,7,2019,Summer
2016-01-14,Qatar,215694,5703,6.99,1,2016,Winter
2012-12-30,Norway,182986,17863,8.35,12,2012,Winter
2021-12-13,Norway,202066,9976,6.71,12,2021,Winter
2019-06-27,Colombia,294933,23997,13.32,6,2019,Summer
2011-12-06,Egypt,264969,12123,14.03,12,2011,Winter
2014-03-25,Libya,253040,13867,10.88,3,2014,Ramadan
2016-08-11,Argentina,161557,22220,15.62,8,2016,Summer
2020-09-19,Austria,292897,31251,6.31,9,2020,Spring
2024-04-01,China,223887,27553,7.73,4,2024,Ramadan
2023-09-04,South Africa,208153,5496,14.62,9,2023,Spring
2014-04-24,Greece,202054,13637,13.75,4,2014,Ramadan
2022-02-11,Belgium,271572,24270,16.57,2,2022,Winter
2011-01-10,Greece,171964,38382,7.48,1,2011,Winter
2013-09-26,Morocco,300016,7568,7.41,9,2013,Spring
2023-09-04,Mexico,242125,8861,17.76,9,2023,Spring
2012-11-30,Qatar,274460,17342,6.91,11,2012,Spring
2022-12-08,Sweden,154947,30555,5.61,12,2022,Winter
2013-03-30,Chile,224855,27495,10.31,3,2013,Ramadan
2012-07-03,Poland,312776,11047,6.18,7,2012,Summer
2018-10-30,Lebanon,216463,36882,10.24,10,2018,Spring
2014-03-25,Poland,287638,31469,11.57,3,2014,Ramadan
2020-05-22,Czech Republic,167116,39707,13.12,5,2020,Spring
2019-03-29,USA,344436,28307,10.97,3,2019,Ramadan
2022-04-12,Switzerland,308855,21693,6.44,4,2022,Ramadan
2018-11-29,Spain,338819,32279,9.66,11,2018,Spring
2012-03-05,Saudi Arabia,173495,21748,7.5,3,2012,Ramadan
2019-11-24,Kuwait,347412,21827,5.96,11,2019,Spring
2015-04-19,Brazil,211659,10484,10.3,4,2015,Ramadan
2019-12-24,Algeria,174716,15139,5.99,12,2019,Winter
2011-02-09,Turkey,243781,15375,12.01,2,2011,Winter
2024-01-02,China,213392,55170,12.06,1,2024,Winter
2023-05-07,Greece,343269,23169,16.83,5,2023,Spring
2020-05-22,Brazil,262438,11380,9.63,5,2020,Spring
2011-06-09,China,212668,34384,13.92,6,2011,Summer
2012-12-30,Peru,339673,36262,17.66,12,2012,Winter
2017-01-08,Peru,162302,29026,7.62,1,2017,Winter
2020-01-23,UK,229385,56506,8.65,1,2020,Winter
2014-03-25,Morocco,307506,31920,7.36,3,2014,Ramadan
2017-07-07,China,288001,53235,8.39,7,2017,Summer
2011-06-09,Germany,293019,56101,9.27,6,2011,Summer
2019-04-28,Peru,217880,32104,14.09,4,2019,Ramadan
2014-11-20,Norway,325115,11324,16.63,11,2014,Spring
2017-11-04,Spain,342134,22613,17.02,11,2017,Spring
2016-03-14,Argentina,168523,30422,5.93,3,2016,Ramadan
2017-07-07,Sweden,151708,36954,9.65,7,2017,Summer
2022-04-12,Colombia,185894,36305,9.6,4,2022,Ramadan
2016-10-10,Kuwait,348630,27826,10.59,10,2016,Spring
2010-12-11,Sweden,294718,30515,12.15,12,2010,Winter
2019-12-24,Saudi Arabia,217183,38351,10.12,12,2019,Winter
2018-10-30,Argentina,172997,17194,7.72,10,2018,Spring
2019-04-28,Lebanon,243636,14282,11.97,4,2019,Ramadan
2010-06-14,Sweden,312234,6903,8.41,6,2010,Summer
2021-05-17,Canada,208932,55688,13.92,5,2021,Spring
2017-02-07,Turkey,232346,7865,10.05,2,2017,Winter
2014-08-22,Sweden,153730,29895,14.19,8,2014,Summer
2012-10-31,Poland,176610,9415,9.0,10,2012,Spring
2019-10-25,Egypt,340516,13997,15.26,10,2019,Spring
2011-06-09,Belgium,234568,24776,7.27,6,2011,Summer
2024-07-30,France,299187,60338,9.41,7,2024,Summer
2015-05-19,Poland,265088,19881,8.79,5,2015,Spring
2014-01-24,India,344483,38968,6.95,1,2014,Winter
2024-03-02,Mexico,209614,28771,17.81,3,2024,Ramadan
2023-01-07,USA,158036,61495,6.69,1,2023,Winter
2023-09-04,Netherlands,205505,27534,10.86,9,2023,Spring
2017-04-08,Austria,333062,26696,8.03,4,2017,Ramadan
2018-05-03,Sweden,190996,26218,7.99,5,2018,Spring
2024-09-28,Poland,221682,38094,12.4,9,2024,Spring
2016-05-13,Chile,235323,29083,13.94,5,2016,Spring
2011-06-09,India,292424,36451,11.68,6,2011,Summer
2019-08-26,UK,197166,50758,14.36,8,2019,Summer
2024-02-01,Mexico,345960,10299,16.94,2,2024,Winter
2012-02-04,Romania,315243,31668,6.45,2,2012,Winter
2013-10-26,Italy,189419,59498,9.83,10,2013,Spring
2015-01-19,Colombia,214967,11865,11.14,1,2015,Winter
2010-02-14,Peru,253715,35426,9.48,2,2010,Winter
2017-10-05,Sweden,174790,24964,17.53,10,2017,Spring
2020-06-21,UAE,172224,9560,9.9,6,2020,Summer
2010-02-14,Belgium,207517,8664,12.98,2,2010,Winter
2019-08-26,China,190376,15160,8.91,8,2019,Summer
2017-09-05,USA,266230,34238,11.28,9,2017,Spring
2012-10-01,USA,243969,39226,10.37,10,2012,Spring
2021-11-13,Japan,151664,10290,5.59,11,2021,Spring
2024-02-01,Peru,189559,15332,13.2,2,2024,Winter
2017-12-04,Czech Republic,200455,30456,16.23,12,2017,Winter
2011-11-06,Saudi Arabia,258773,16829,5.81,11,2011,Spring
2017-08-06,Belgium,332500,37218,14.4,8,2017,Summer
2023-02-06,Germany,271373,34553,14.26,2,2023,Winter
2011-03-11,Peru,208389,29913,9.67,3,2011,Ramadan
2015-05-19,Portugal,216210,20963,14.9,5,2015,Spring
2014-08-22,South Africa,324366,10707,11.43,8,2014,Summer
2023-02-06,Romania,251994,27501,7.68,2,2023,Winter
2020-06-21,Romania,292598,20419,10.72,6,2020,Summer
2015-09-16,Germany,259780,35558,7.47,9,2015,Spring
2017-08-06,Colombia,301868,13945,16.7,8,2017,Summer
2018-01-03,USA,199757,38080,18.09,1,2018,Winter
2011-02-09,Peru,186006,28468,12.9,2,2011,Winter
2017-05-08,Qatar,248931,8189,15.47,5,2017,Spring
2014-11-20,Turkey,302770,12266,11.62,11,2014,Spring
2016-09-10,Brazil,173987,31426,15.44,9,2016,Spring
2010-09-12,Peru,214032,31653,10.09,9,2010,Spring
2021-12-13,Saudi Arabia,157868,28454,12.71,12,2021,Winter
2018-06-02,Norway,177013,39264,6.65,6,2018,Summer
2019-07-27,Japan,172246,36883,17.01,7,2019,Summer
2013-05-29,France,283569,29065,11.92,5,2013,Spring
2013-01-29,Belgium,192639,19783,11.37,1,2013,Winter
2020-01-23,China,279250,33167,18.43,1,2020,Winter
2022-01-12,Germany,150790,31676,15.2,1,2022,Winter
2013-10-26,Chile,153551,20697,11.39,10,2013,Spring
2012-12-30,Italy,282264,25526,13.9,12,2012,Winter
2023-04-07,India,294398,20741,13.86,4,2023,Ramadan
2013-01-29,Canada,303112,45524,17.8,1,2013,Winter
2010-06-14,Canada,312335,61480,9.86,6,2010,Summer
2021-02-16,Czech Republic,286846,29302,8.81,2,2021,Winter
2024-08-29,Brazil,164076,20001,5.62,8,2024,Summer
2024-02-01,Czech Republic,332551,32990,10.04,2,2024,Winter
2016-06-12,China,156533,22961,10.76,6,2016,Summer
2015-06-18,Colombia,326429,11497,12.53,6,2015,Summer
2023-01-07,Portugal,158458,31406,14.09,1,2023,Winter
2015-08-17,Hungary,220204,8978,15.93,8,2015,Summer
2022-04-12,Denmark,310001,25723,17.63,4,2022,Ramadan
2017-03-09,France,290584,32465,11.33,3,2017,Ramadan
2022-12-08,Jordan,205127,10001,14.44,12,2022,Winter
2020-10-19,Mexico,301338,39208,12.77,10,2020,Spring
2022-02-11,UAE,218093,29443,13.65,2,2022,Winter
2015-10-16,UK,232440,26754,5.7,10,2015,Spring
2023-08-05,Kuwait,242799,33767,15.88,8,2023,Summer
2015-09-16,Kuwait,345837,14559,14.15,9,2015,Spring
2017-07-07,Qatar,173956,18106,5.71,7,2017,Summer
2011-10-07,Belgium,249191,16491,9.49,10,2011,Spring
2016-03-14,Saudi Arabia,245158,37362,5.98,3,2016,Ramadan
2013-07-28,Peru,275548,7841,9.75,7,2013,Summer
2022-06-11,Chile,275084,8945,15.94,6,2022,Summer
2023-04-07,Sweden,300585,18128,17.53,4,2023,Ramadan
2019-01-28,Poland,228792,38347,11.99,1,2019,Winter
2021-06-16,Sweden,186770,6516,7.05,6,2021,Summer
2016-02-13,Portugal,173697,8525,9.52,2,2016,Winter
2018-05-03,Saudi Arabia,215643,26908,8.71,5,2018,Spring
2010-07-14,Netherlands,323665,11617,12.26,7,2010,Summer
2023-08-05,Colombia,212083,35952,17.5,8,2023,Summer
2016-05-13,Mexico,211725,39174,8.6,5,2016,Spring
2024-02-01,Algeria,323796,22780,16.58,2,2024,Winter
2013-02-28,Libya,338796,29928,9.57,2,2013,Winter
2013-02-28,Sweden,298958,21903,9.08,2,2013,Winter
2013-02-28,Qatar,158404,16641,16.24,2,2013,Winter
2016-05-13,Kuwait,333607,19750,15.06,5,2016,Spring
2014-05-24,Canada,249385,77648,9.12,5,2014,Spring
2021-09-14,UK,180426,20626,16.31,9,2021,Spring
2024-08-29,USA,325124,56616,15.98,8,2024,Summer
2013-03-30,Hungary,171661,10312,14.44,3,2013,Ramadan
2022-10-09,UK,267853,27931,13.2,10,2022,Spring
2015-12-15,Lebanon,242910,10509,11.11,12,2015,Winter
2015-07-18,Norway,201086,38482,7.34,7,2015,Summer
2022-05-12,Egypt,188965,5142,15.61,5,2022,Spring
2012-10-31,Denmark,193879,38979,17.2,10,2012,Spring
2013-07-28,Netherlands,325595,19679,16.85,7,2013,Summer
2011-01-10,Morocco,294597,7402,8.89,1,2011,Winter
2010-07-14,Peru,331043,32959,18.38,7,2010,Summer
2012-07-03,Portugal,180477,10777,17.43,7,2012,Summer
2011-01-10,Saudi Arabia,297074,25240,13.89,1,2011,Winter
2018-08-31,Denmark,295975,23861,7.59,8,2018,Summer
2011-10-07,USA,238751,37368,13.6,10,2011,Spring
2017-07-07,Turkey,207746,28393,11.27,7,2017,Summer
2010-03-16,Denmark,256729,38289,7.38,3,2010,Ramadan
2015-09-16,France,326078,46148,13.95,9,2015,Spring
2022-06-11,Romania,329182,13722,12.43,6,2022,Summer
2022-07-11,Mexico,342496,6183,6.15,7,2022,Summer
2019-12-24,Turkey,215518,10605,15.53,12,2019,Winter
2022-04-12,Jordan,171748,23020,17.65,4,2022,Ramadan
2016-11-09,India,281671,11623,14.82,11,2016,Spring
2014-02-23,Turkey,285593,13335,9.38,2,2014,Winter
2011-12-06,Spain,188336,21362,14.75,12,2011,Winter
2021-03-18,UAE,332837,33976,9.99,3,2021,Ramadan
2022-11-08,UK,151166,40482,14.66,11,2022,Spring
2012-05-04,Germany,163265,21344,9.27,5,2012,Spring
2023-10-04,Greece,185907,8420,12.15,10,2023,Spring
2023-09-04,Algeria,248725,6205,13.08,9,2023,Spring
2023-03-08,Sweden,289556,26405,11.45,3,2023,Ramadan
2022-12-08,Colombia,235526,33644,7.72,12,2022,Winter
2019-02-27,Austria,267095,14674,13.64,2,2019,Winter
2014-04-24,Turkey,155909,26687,8.41,4,2014,Ramadan
2018-08-01,Egypt,339425,11975,15.2,8,2018,Summer
2015-01-19,Qatar,333113,17022,12.89,1,2015,Winter
2022-07-11,Belgium,189525,8543,7.29,7,2022,Summer
2024-08-29,UK,321198,48124,11.93,8,2024,Summer
2023-06-06,Colombia,183482,30846,14.06,6,2023,Summer
2023-08-05,Saudi Arabia,283239,13287,18.09,8,2023,Summer
2021-09-14,Netherlands,325724,18813,13.68,9,2021,Spring
2021-12-13,Jordan,198904,28469,8.62,12,2021,Winter
2017-06-07,Sweden,348341,12305,17.79,6,2017,Summer
2013-04-29,Algeria,247359,37662,11.53,4,2013,Ramadan
2024-02-01,South Africa,313291,25202,6.34,2,2024,Winter
2015-03-20,Argentina,229708,19170,15.55,3,2015,Ramadan
2011-08-08,France,168233,66174,6.1,8,2011,Summer
2014-09-21,Kuwait,239191,10841,15.13,9,2014,Spring
2019-06-27,Japan,315312,11997,14.45,6,2019,Summer
2021-02-16,Spain,253010,25644,14.61,2,2021,Winter
2016-10-10,Peru,272110,9221,8.93,10,2016,Spring
2021-03-18,Switzerland,230307,27840,7.99,3,2021,Ramadan
2010-05-15,Sweden,257556,32411,7.96,5,2010,Spring
2023-06-06,Denmark,333464,35773,18.28,6,2023,Summer
2014-11-20,Canada,214823,22033,8.09,11,2014,Spring
2021-10-14,USA,163486,67255,18.09,10,2021,Spring
2018-08-31,Netherlands,344619,19700,13.91,8,2018,Summer
2017-01-08,Brazil,296719,32752,17.25,1,2017,Winter
2011-04-10,Brazil,156498,17881,5.73,4,2011,Ramadan
2022-08-10,Australia,340502,23544,14.3,8,2022,Summer
2019-11-24,Peru,190392,33882,15.75,11,2019,Spring
2011-03-11,Jordan,207385,8669,10.6,3,2011,Ramadan
2016-12-09,Switzerland,176617,12608,7.64,12,2016,Winter
2010-11-11,South Africa,273964,39322,12.8,11,2010,Spring
